Mod,likes,downloads,time,unique_dl,views
35163,134,2744,920,2041,45061
4013,58,1202,1412,828,28802
51680,19,381,607,303,10393
11681,35,787,1339,507,22388
68902,0,2,70,1,785
1333,9,293,1436,210,11899
34099,288,7538,944,5108,45008
58434,3,25,401,20,2411
41680,42,670,785,521,8175
40374,27,320,806,283,8399
10313,222,3284,1350,2423,32346
41582,75,1731,787,1363,18816
25429,1088,17231,1112,12393,86508
52710,47,533,573,407,23994
21538,15,391,1184,275,13652
34718,493,10949,930,8612,75613
60877,12,120,316,102,3393
14169,54,1164,1307,813,13613
1650,47,1316,1434,905,17599
25644,112,4293,1107,2704,69629
38139,161,2686,843,1957,14548
28727,73,1468,1042,929,35657
6670,16,294,1378,201,6526
27657,133,1837,1063,1116,31394
13957,32,727,1310,417,8604
64112,6,83,218,68,6009
36398,11,245,888,183,10092
39963,4,98,812,84,6048
63433,0,20,238,14,1530
24215,97,2384,1139,1576,9800
9860,3,203,1352,115,4111
20969,59,3259,1194,2162,58004
18096,1162,22829,1245,15465,78957
9268,4,187,1356,134,6999
54443,264,4577,519,3641,38479
31239,424,11315,994,7392,87780
61126,47,429,306,331,5989
2208,65,2382,1429,1752,35798
15007,244,14790,1296,9690,100831
66740,9,127,143,88,4563
1823,47,889,1432,623,31061
36334,26474,620784,890,485010,1626378
18215,110,5327,1243,4175,60080
41917,113,1288,781,982,11911
34115,333,21695,944,13181,46509
38033,58,1678,845,1261,45334
27910,217,5983,1057,4420,31594
20257,316,3496,1207,2911,33167
28015,86,6584,1055,3957,26900
18902,313,7799,1230,5443,55752
22193,11,267,1175,132,7055
70095,99,2048,33,1891,24465
69415,38,365,55,305,7405
19629,37,1228,1218,847,17339
48886,10,190,683,142,8157
36164,37,839,895,719,42568
57535,28,238,426,188,4935
18149,8,236,1244,186,13465
32033,51,1831,982,1139,29583
25727,71,3089,1106,2149,36145
21965,76,2429,1178,1594,25719
9037,3031,71847,1357,39997,118653
24286,2923,135324,1138,84835,383924
57336,40,473,435,359,4984
22839,40,906,1164,643,9937
24533,30,2308,1132,1449,39299
15291,3,70,1292,42,3038
14680,3,143,1300,102,15387
65843,4,105,170,88,3522
25506,97,2240,1111,1569,37534
69778,2,29,43,24,1470
2993,108,2836,1422,2118,31653
15607,9,238,1287,189,7153
50702,30,1218,634,931,8811
20060,8,564,1210,444,24712
39027,38,781,824,560,10313
59554,6,74,364,49,6496
13971,260,7889,1310,5286,45141
15810,629,22409,1284,15499,364703
20094,123,3003,1209,2160,39059
30920,26,1031,999,639,10551
49035,9,127,678,102,5378
39805,131,3452,814,2351,18485
33600,205,4415,954,2951,42970
21117,1156,26789,1191,17575,199193
60389,1743,25284,334,20188,184284
54729,92,1077,508,748,17117
38185,804,13211,841,10705,73000
67818,627,9440,108,7691,67529
53557,488,5705,550,4578,51796
24767,163,3005,1126,1886,16468
41135,83,1544,793,1266,30344
23379,6,344,1155,230,20580
32893,507,18585,968,13271,121456
27967,7,351,1056,204,5244
57804,10,92,420,70,3161
30530,167,4147,1006,2662,32669
64868,9,294,195,200,4562
54579,42,709,514,527,28843
31074,0,0,996,0,57249
10263,14,832,1350,499,13489
21409,0,0,1186,0,5705
62052,23,279,276,183,7421
14890,49,1041,1298,668,44069
56053,25,294,470,219,5602
40343,152,2259,806,1958,26649
2511,127,3000,1427,1974,50109
20457,18,659,1203,538,14448
52199,7,115,591,90,4600
14933,136,2772,1297,1891,26567
69416,29,326,55,288,6207
48869,3088,59210,683,44908,199038
38255,25,304,840,265,6096
64809,17,159,197,129,14925
1288,46,996,1436,722,22827
64482,75,1274,207,969,17789
52333,0,12,587,10,1988
8038,517,8517,1361,5790,84720
23199,77,1224,1158,986,24972
16158,12,316,1278,226,7824
447,25,632,1443,503,30893
51013,3,99,626,74,3208
19898,19,808,1213,608,24836
56994,32,418,443,337,9223
5640,82,3121,1391,1824,34893
45011,67,1044,740,757,10758
31821,212,5555,985,4102,31249
67798,36,388,109,355,5013
63961,27,370,223,268,8923
5495,338,16081,1393,10247,133528
45362,225,3118,736,2437,27175
56083,1386,16173,469,13240,64943
34260,18,518,940,336,6254
61139,2548,29821,306,24048,98371
5825,27,1285,1389,759,20085
40194,134,3273,808,2141,67447
59529,11,284,365,197,8191
54329,24,364,524,271,10297
59937,435,23096,350,17547,52261
23853,50,2190,1147,1459,17724
