Mod,likes,downloads,time,unique_dl,views,dl_dif
5706,147,7016,3409,5337,47835,1679
2867,30,2804,3510,1884,16898,920
22555,809,61745,2472,43807,258490,17938
6635,35,1659,3369,1176,37842,483
9325,18,530,3198,432,7542,98
36484,31,1172,1781,918,16702,254
13167,13,1530,2985,1211,22725,319
1812,22,787,3530,617,17116,170
4772,10,511,3458,393,11272,118
20171,2,128,2604,114,5589,14
30410,0,39,2082,22,4815,17
38398,2,97,1657,67,4115,30
24667,35,536,2372,409,4938,127
27975,6,160,2212,138,2818,22
36160,34,1105,1797,851,13573,254
45559,1,18,423,7,1701,11
8011,4329,181515,3284,125829,503830,55686
10958,31,3066,3113,2265,29637,801
11029,10,124,3109,103,10236,21
31408,41,1045,2034,793,13710,252
19950,6,137,2617,112,4552,25
31855,832,26632,2009,19069,118651,7563
36891,2,89,1757,70,2052,19
37445,59,2164,1723,1461,23140,703
45419,249,5887,466,4520,21154,1367
28252,3,134,2196,113,4367,21
32932,23,429,1960,350,4857,79
36553,21,492,1778,397,8223,95
6467,57,1133,3376,879,13696,254
1800,32,1652,3531,1244,29449,408
28509,8,295,2181,237,4587,58
37120,578,21663,1743,15948,109483,5715
31260,27,591,2041,469,6364,122
19234,10,532,2654,424,6212,108
12996,69,3439,3003,2713,19792,726
42068,69,2217,1307,1615,21631,602
6665,1208,59980,3368,40181,195411,19799
28602,42,1170,2175,922,25410,248
28639,7,337,2173,251,10041,86
19948,49,1233,2617,995,11127,238
11109,19,482,3105,373,10923,109
2049,111,1866,3524,1181,19024,685
9944,6,124,3166,108,3119,16
20240,89,1745,2599,1354,8916,391
4660,61,1456,3462,1108,19660,348
34931,219,5739,1877,4646,27964,1093
14634,36,1601,2877,1243,16682,358
4141,29,700,3482,539,23193,161
7019,37,1728,3350,1374,5518,354
13756,33,1466,2941,1150,30710,316
18722,118,7615,2675,5873,79518,1742
42250,5,94,1269,70,3610,24
31769,10,363,2014,291,6912,72
37358,0,0,1728,0,10074,0
41291,62,2686,1431,2113,26324,573
3251,27,1129,3503,889,6233,240
8539,3,165,3246,126,4166,39
10084,11,413,3158,325,5985,88
26089,16,508,2309,401,5411,107
3389,41,1114,3501,900,11644,214
39528,0,98,1585,82,11855,16
3461,58,995,3499,773,9908,222
25944,2,158,2315,126,4284,32
8131,1,142,3273,117,2909,25
6622,24,417,3370,369,7525,48
29901,155,6385,2109,4690,60111,1695
26708,16,861,2281,699,12191,162
29140,10,301,2148,247,6320,54
