Mod,likes,downloads,time,unique_dl,views,dl_dif
4299,21,421,422,299,4331,122
1522,505,19447,2075,10596,125826,8851
1087,31,1047,2178,753,78215,294
1894,132,5141,1971,2412,58337,2729
3942,612,11744,898,4555,100614,7189
1367,1625,41124,2115,20119,125836,21005
737,93,1502,2244,1055,44990,447
3411,141,1547,1462,1186,19460,361
3643,550,7977,1203,4948,44611,3029
132,35,404,2324,289,42211,115
498,203,5404,2282,3778,60527,1626
3137,19,381,1658,199,11217,182
3914,2675,64574,924,24878,342338,39696
3404,22,1062,1466,766,26311,296
3883,46,1188,937,720,44857,468
616,99,5793,2264,2689,69448,3104
4026,15,176,792,122,8390,54
1804,30,947,2000,605,32349,342
2913,104,2214,1754,1113,17589,1101
3440,367,7302,1447,4704,40091,2598
3616,13,281,1247,233,8185,48
4063,199,2582,768,1587,14140,995
1075,138,2638,2180,1722,72817,916
1815,59,2893,1999,1304,61884,1589
225,61,737,2314,511,35493,226
2002,402,13591,1913,6927,62988,6664
3313,0,0,1573,0,7508,0
1660,8249,246973,2033,122767,1184009,124206
1950,6,203,1943,149,11169,54
124,131,1046,2324,721,21372,325
1084,15,292,2178,164,10447,128
3952,163,2985,887,1588,48308,1397
703,1176,33590,2250,22622,129725,10968
542,70,4547,2275,3089,88510,1458
4361,12,175,217,143,8717,32
579,20,381,2270,225,29285,156
1475,11,1013,2088,577,29570,436
3359,235,5717,1516,3200,61825,2517
479,293,10913,2286,7381,61286,3532
1192,79,6661,2157,2774,72108,3887
466,293,5391,2288,3491,31525,1900
580,77,1905,2270,1340,32662,565
4064,42,446,768,302,4707,144
2074,30,840,1884,465,10083,375
1862,120,4951,1982,3078,45761,1873
24,25,473,2330,216,40158,257
3410,82,926,1464,698,13938,228
4311,306,11825,397,2318,47637,9507
2022,349,10068,1910,6454,77234,3614
3578,395,4435,1319,3451,33465,984
1961,13,383,1936,293,17312,90
1199,77,2114,2155,1454,48776,660
1850,7,312,1987,212,8001,100
973,79,1399,2196,870,22496,529
3691,60,924,1136,653,16689,271
3924,788,11686,910,7137,55238,4549
1769,116,7013,2010,2459,69398,4554
4140,19,166,659,114,12696,52
1602,105,3232,2054,1835,34977,1397
1591,275,4905,2057,3222,36844,1683
1821,5,390,1997,240,14108,150
254,6,222,2311,98,15616,124
3345,104,1376,1536,1030,20639,346
867,336,6020,2211,4460,42002,1560
3352,131,3309,1525,1771,75732,1538
1848,15,617,1987,457,17426,160
986,54,2235,2194,1378,36036,857
1232,4,208,2148,152,11549,56
1266,109,7214,2140,3686,76624,3528
687,1002,29265,2255,17159,90559,12106
3009,789,10732,1710,7065,51273,3667
4286,0,14,424,9,2049,5
933,236,6004,2200,3669,50569,2335
2970,119,1959,1733,1303,15839,656
1726,73,3333,2018,2042,30186,1291
60,6,26,2327,17,26495,9
931,7,312,2201,163,20146,149
4169,65,770,619,621,11758,149
1419,4,244,2097,172,11754,72
723,104,9462,2248,6950,56053,2512
2039,29,743,1904,512,18193,231
1092,27,1317,2177,821,33288,496
1104,84,2156,2175,1668,22247,488
1174,112,2352,2163,1736,22292,616
1834,65,1565,1993,1057,27084,508
1276,131,3252,2138,1581,41836,1671
119,308,5404,2324,3489,142638,1915
889,154,4441,2206,2636,76619,1805
725,60,4014,2248,2877,53148,1137
1840,359,7632,1990,5610,31760,2022
278,38,560,2309,228,23386,332
2759,17,730,1801,341,20449,389
1353,149,2323,2122,1669,26775,654
3381,334,11966,1489,3839,73432,8127
1201,1208,43506,2155,17490,157212,26016
3539,73,1229,1354,882,29694,347
586,158,3870,2269,2647,28932,1223
4068,91,858,766,598,7574,260
4291,18,415,423,308,3475,107
3641,15,412,1205,245,17352,167
287,37,559,2308,355,38943,204
769,26,652,2238,527,38595,125
2030,103,3298,1907,2021,30897,1277
1230,171,12570,2149,3135,72836,9435
3765,7,175,1055,85,6670,90
3920,70,1113,912,557,24136,556
97,175,3798,2325,2132,188810,1666
829,797,37452,2221,19088,222288,18364
2209,124,2839,1846,1586,29600,1253
4219,29,149,536,112,10782,37
4081,18,211,757,127,5554,84
297,304,3001,2307,2034,49388,967
4129,19,340,676,185,17143,155
746,284,9000,2243,6095,66374,2905
4281,14,336,424,229,2919,107
1278,453,12618,2138,8609,150757,4009
2092,185,8304,1875,4997,100021,3307
662,238,7171,2259,5787,115276,1384
2113,71,5232,1867,1041,26464,4191
546,18,869,2275,646,27613,223
273,57,1050,2309,643,129195,407
35,180,6061,2329,1248,157573,4813
4108,209,3791,704,2044,41869,1747
701,239,3920,2250,2616,40672,1304
2010,185,2368,1911,1594,58158,774
3659,21,420,1180,241,18912,179
2535,282,3889,1829,2493,27673,1396
433,265,6808,2292,4661,36054,2147
4290,10,130,424,91,3780,39
3771,604,11777,1054,6525,49525,5252
2998,278,7167,1719,3897,43434,3270
1677,466,7569,2029,5320,37963,2249
435,3967,179904,2292,71312,783063,108592
1067,431,12945,2182,7589,51938,5356
4191,25,308,591,186,13306,122
2206,156,2848,1846,1898,20642,950
1750,64,2180,2013,1451,46035,729
1005,119,6407,2192,2735,57989,3672
821,154,6949,2223,3290,62891,3659
806,61,1464,2227,1008,34512,456
1233,219,6000,2148,4860,33979,1140
4308,35,863,411,552,15479,311
606,322,15669,2265,8306,75494,7363
767,1493,36342,2238,23117,132406,13225
1910,338,8521,1962,5549,71493,2972
3594,34,975,1289,642,26016,333
2571,473,7069,1826,4264,36275,2805
1673,32,2162,2030,821,26100,1341
1119,83,3240,2172,1953,57847,1287
892,5,150,2206,112,10747,38
4015,52,951,807,571,17859,380
611,742,27138,2265,17185,125054,9953
1517,223,5846,2077,3701,21655,2145
1332,38,998,2127,709,18376,289
23,3614,58189,2330,38467,349363,19722
628,152,15584,2263,3595,87154,11989
3759,6,144,1058,80,5883,64
2027,7,223,1907,171,15826,52
4378,44,447,157,390,6653,57
1382,230,10933,2108,6434,112853,4499
1942,36,1527,1946,917,25213,610
2706,280,13328,1810,5959,134985,7369
2063,399,11137,1888,7486,41550,3651
3636,162,4405,1213,2591,48947,1814
4215,295,3213,540,1853,42351,1360
2053,160,3012,1893,1578,35880,1434
4359,3,64,222,51,3042,13
910,264,8701,2203,4470,51275,4231
1703,82,4798,2022,2244,60988,2554
193,29,374,2318,274,33790,100
397,25,269,2296,200,20894,69
2097,181,4291,1871,2369,35183,1922
272,11,129,2309,109,63768,20
848,78,8397,2216,5546,76472,2851
1996,209,10415,1917,2856,57781,7559
3542,120,2663,1351,1928,42542,735
1286,7,520,2135,400,23653,120
1754,42,938,2012,596,22367,342
728,517,10823,2248,6858,84408,3965
3326,50,1097,1553,709,17968,388
44,8179,113090,2329,78692,629344,34398
1886,119,2841,1974,1957,23580,884
1981,380,13901,1923,8242,93800,5659
1070,40,2207,2182,773,29160,1434
1210,184,5602,2153,3559,52133,2043
1416,638,18340,2098,8326,60073,10014
3356,85,1406,1520,1204,33703,202
965,90,2584,2196,1691,24936,893
164,183,1982,2321,1104,75127,878
3098,4540,112599,1676,52949,714869,59650
684,206,5113,2255,3894,67780,1219
1432,610,17897,2095,10920,98253,6977
493,29,1931,2283,1318,37813,613
1221,60,2116,2151,1247,27953,869
3770,6,150,1054,103,7336,47
694,57,1365,2253,773,22819,592
1757,155,4303,2011,2500,63341,1803
2919,286,7284,1753,4311,65330,2973
91,1053,22319,2325,11122,358156,11197
3732,55,1310,1085,911,31199,399
31,116,1566,2329,968,55195,598
3529,80,1703,1361,1102,19983,601
73,3073,48761,2327,34978,452322,13783
1563,25,1644,2065,1087,40641,557
4240,251,8750,509,2761,76558,5989
232,444,5852,2313,4008,125667,1844
3293,197,2780,1596,2025,26944,755
2972,5,237,1733,101,15042,136
3749,13,283,1061,175,6992,108
1984,53,2690,1920,1046,40800,1644
63,109,1154,2327,695,85635,459
3339,1413,49757,1542,18945,213506,30812
1777,40,2003,2009,790,44267,1213
2055,465,9195,1892,6700,38935,2495
3995,11,149,862,108,6477,41
1569,84,2458,2063,1196,71354,1262
240,164,1470,2312,1035,38605,435
823,1464,26376,2223,18936,131966,7440
3689,71,768,1137,569,16158,199
3877,101,2321,941,1478,43131,843
482,10,582,2285,317,20998,265
1134,966,35507,2169,22450,296046,13057
116,24,423,2324,302,68384,121
4066,63,763,768,502,5917,261
3560,802,10753,1333,7734,93038,3019
1824,211,13980,1996,6552,81639,7428
1994,325,8979,1917,4221,41386,4758
1908,206,5041,1963,3345,104119,1696
123,11,204,2324,150,35569,54
589,1057,33161,2268,16818,205989,16343
1430,1991,85422,2096,48340,401015,37082
2050,372,9378,1897,6653,62618,2725
3822,16,515,987,220,14614,295
43,73,1168,2329,586,53530,582
1944,25,1318,1945,630,16759,688
241,46,584,2312,220,32028,364
1058,1542,61903,2183,35005,443505,26898
674,9,598,2257,323,14254,275
3760,119,1462,1058,1217,17865,245
610,17,746,2265,436,26072,310
2070,17,380,1886,261,10983,119
2052,335,16215,1893,6106,82645,10109
59,54,802,2327,567,51379,235
1861,65,472,1982,360,18672,112
3656,130,2193,1188,1408,44349,785
959,330,6849,2196,4438,58680,2411
1223,865,29691,2151,15970,156680,13721
1790,246,8865,2004,4258,66526,4607
3562,60,1031,1327,616,27034,415
2915,24,1903,1754,460,51660,1443
4379,19,423,154,254,5854,169
1393,35,1843,2105,843,32579,1000
3655,632,10257,1189,6546,99699,3711
65,33,295,2327,225,43985,70
990,394,6443,2194,3770,40019,2673
2857,61,2129,1775,970,36735,1159
3050,273,3708,1694,2561,21268,1147
1173,11,269,2163,178,13063,91
1716,304,6903,2020,4266,87299,2637
1923,135,3409,1955,1856,20311,1553
1272,29,695,2139,500,21448,195
1739,21,1234,2015,699,22899,535
358,2,34,2299,23,23445,11
3363,95,1721,1512,1323,48736,398
390,108,1834,2296,1296,63981,538
251,19,161,2311,63,63023,98
1361,2582,48558,2119,31092,148472,17466
3254,367,6841,1612,3643,75181,3198
2172,104,5327,1848,3134,51013,2193
1394,116,2850,2105,1432,43411,1418
902,7,456,2205,242,15216,214
4210,48,509,545,345,15688,164
1721,228,5459,2019,3465,51541,1994
3303,25,609,1584,443,21891,166
286,7796,148997,2308,72359,1047923,76638
4280,12,347,424,240,2930,107
3425,282,3170,1455,1930,40224,1240
9,840,12122,2330,7145,168440,4977
1262,615,11621,2141,6997,61385,4624
310,31,681,2305,264,48865,417
3868,279,8386,951,3236,80550,5150
4341,30,445,274,290,6838,155
3295,3570,159095,1594,48232,804505,110863
1244,62,5161,2145,2892,48993,2269
3681,121,1885,1157,965,13552,920
4010,156,2334,843,1893,49552,441
1074,118,3783,2180,2276,39495,1507
3700,181,3544,1125,2065,36013,1479
4200,400,10264,572,4166,42115,6098
2570,21,409,1826,291,14938,118
2112,72,1380,1868,872,18687,508
670,83,1478,2258,1015,17916,463
3783,46,1123,1042,683,24678,440
3731,81,1583,1088,1290,23450,293
2785,86,2100,1792,1106,18698,994
3384,522,7001,1486,4679,73041,2322
563,127,4809,2272,3703,53089,1106
572,21,492,2271,310,13497,182
1640,504,24494,2039,7536,126458,16958
3756,7,40,1059,35,4068,5
1036,169,8326,2186,2855,34292,5471
14,7252,163463,2330,83677,1165319,79786
964,104,2135,2196,1597,28862,538
248,1045,13002,2311,9038,176546,3964
1870,8,366,1980,171,14587,195
4398,2,26,94,20,5209,6
832,247,8487,2221,4109,120994,4378
4032,14,107,782,90,7135,17
4235,9,249,516,120,4378,129
1209,189,7741,2153,5378,69051,2363
1341,1024,36487,2125,16835,98779,19652
