Mod,likes,downloads,time,unique_dl,views,dl_dif
41622,1258,34864,1384,28542,160711,6322
43495,0,41,271,26,1027,15
26088,5,317,2309,298,9000,19
42112,56,1053,1299,914,10512,139
42310,42,708,1104,581,9154,127
28552,295,6183,2178,5116,29374,1067
43628,30,296,182,262,2629,34
43234,453,6243,467,4769,36486,1474
27566,13,484,2235,406,2607,78
30763,8,192,2064,159,2070,33
42106,26,813,1302,587,8050,226
42394,4,53,1035,47,1971,6
42839,7,96,749,56,2139,40
7200,7,190,3340,173,5190,17
43756,5,31,130,29,1222,2
27265,12,390,2254,326,4155,64
27458,111,2189,2242,1744,18742,445
36837,3,65,1759,59,2663,6
13463,13,572,2963,495,5431,77
1446,0,65,3638,51,2939,14
43739,1,36,136,21,665,15
25264,15,485,2347,387,4211,98
26559,0,19,2287,17,1040,2
43170,18,360,503,232,3489,128
43763,7,74,121,45,1180,29
43509,4,49,259,37,1257,12
42638,2,37,834,17,1785,20
12961,25,818,3006,736,10151,82
43378,5,127,339,86,2425,41
15485,2,208,2831,171,5964,37
26259,42,644,2301,538,4182,106
42135,1,188,1282,154,3146,34
36891,12,340,1757,253,4238,87
43442,21,400,303,332,2756,68
6009,9,312,3394,261,4071,51
7205,4,159,3340,138,2730,21
43267,47,560,441,425,3670,135
39367,12,219,1594,177,3863,42
28259,15,447,2196,359,7355,88
43044,8,167,644,112,3595,55
43627,20,253,182,178,2960,75
42762,66,873,786,712,9160,161
21422,46,1326,2534,1143,22593,183
43526,3,49,252,33,1311,16
1203,19,727,3767,667,15166,60
23886,8,216,2409,187,8252,29
43522,7,259,253,187,4100,72
43777,4,64,112,41,950,23
25556,18,423,2334,373,4339,50
21939,11,226,2505,194,5311,32
23200,3,71,2442,67,3204,4
42121,8,315,1295,286,3541,29
29969,15,211,2106,176,3996,35
6210,14,608,3388,546,15424,62
23890,59,1517,2409,1356,7354,161
42581,4,138,856,117,2958,21
42122,4,202,1295,178,4643,24
42109,11,128,1299,104,3660,24
42418,42,833,1020,691,6886,142
42223,7,138,1177,119,4230,19
8570,5,972,3244,383,8626,589
37795,846,18651,1699,14844,161593,3807
27765,205,6753,2224,5692,20128,1061
31746,4,64,2015,53,1689,11
37792,25,638,1699,476,6347,162
43260,24,242,447,152,3508,90
20882,27,413,2565,311,5029,102
43585,0,10,213,6,935,4
5056,34,2187,3444,1058,11682,1129
21418,17,503,2534,420,4233,83
19350,6,257,2648,193,6041,64
42352,67,1169,1052,956,8701,213
6686,10,333,3367,269,5384,64
43220,11,106,471,79,1688,27
1050,13,602,3815,550,8278,52
42388,14,193,1036,152,5651,41
7662,66,2108,3314,1511,10563,597
30562,121,2352,2074,1859,19952,493
31105,9,184,2049,156,1960,28
15445,1,102,2832,88,1864,14
43658,13,257,145,200,3578,57
42317,51,703,1093,634,9031,69
43008,180,2584,677,1757,19507,827
12737,293,4670,3019,3819,31811,851
43508,22,309,259,265,3657,44
33920,1,95,1923,82,2431,13
28864,9,226,2161,195,5604,31
43144,66,849,520,677,4839,172
42238,248,3801,1170,3017,24662,784
43460,6,71,301,51,956,20
43644,15,93,175,81,2969,12
43014,591,9402,672,7407,54838,1995
43400,16,180,324,159,3112,21
43510,5,65,258,60,1286,5
36017,10,180,1807,139,2408,41
33185,6,130,1950,103,2636,27
43657,77,1710,171,1418,7501,292
42933,395,6028,714,5090,35778,938
42713,35,675,797,470,6429,205
28889,24,1203,2160,918,10662,285
1291,2,80,3741,67,3019,13
43640,10,294,3839,256,25773,38
42723,17,681,797,428,8189,253
27545,556,13528,2237,9780,67629,3748
7973,9,231,3287,199,7139,32
6860,5,153,3359,134,3916,19
30660,0,71,2068,61,2748,10
42847,29,353,744,255,5630,98
23876,2,69,2409,63,1985,6
42483,143,1884,947,1533,16661,351
1110,17,331,3799,284,6174,47
42220,4,94,1179,79,2008,15
12273,3,133,3045,111,2655,22
43331,41,526,378,423,4522,103
42299,30,349,1109,272,5479,77
42192,5,128,1212,104,2659,24
43470,224,3567,289,2918,17374,649
41851,5,90,1343,76,2666,14
43182,25,290,499,237,4325,53
27747,4,166,2225,153,1890,13
43222,35,389,471,327,2907,62
37866,11,230,1693,182,4344,48
13279,56,1843,2979,1580,17137,263
1454,24,678,3626,474,6296,204
16043,28,560,2805,429,8025,131
43376,12,143,342,105,1846,38
43613,1,28,195,25,1048,3
28348,5,164,2191,137,4272,27
1541,18,243,3595,203,4426,40
3875,955,27134,3490,16744,110782,10390
27479,296,4868,2241,3770,17215,1098
43102,2,92,585,52,3433,40
13793,7,217,2939,179,5248,38
43158,2,49,512,41,1561,8
42219,12,117,1183,85,2936,32
43520,80,1155,255,869,7742,286
35482,11,209,1848,179,4223,30
43589,6,77,210,62,1341,15
40199,228,4289,1544,3564,19918,725
42569,15,138,884,103,3202,35
39279,6,171,1599,147,3848,24
43177,164,1732,500,1396,14866,336
10994,82,1698,3111,1319,12939,379
7015,8,221,3350,196,4213,25
1457,302,4496,3624,3598,39391,898
1076,21,789,3810,723,14875,66
43387,24,182,331,139,1841,43
42834,114,1176,749,918,12486,258
20557,53,3569,2585,2600,21753,969
8003,2,89,3284,80,2616,9
42576,92,1024,863,839,6796,185
6209,9,208,3388,181,6140,27
29555,71,1868,2126,1565,15516,303
9589,1,98,3182,92,3314,6
42190,1114,19213,1218,14340,59619,4873
43796,10,160,95,123,1068,37
42900,8,130,735,81,2979,49
14561,6,150,2882,127,2504,23
23714,77,1294,2416,1058,8547,236
43358,25,292,358,205,3018,87
21345,76,1310,2538,1103,8175,207
1702,1,40,3564,37,1751,3
1419,127,3317,3644,2925,21427,392
43227,12,152,470,113,3287,39
43655,10,119,134,102,1543,17
27132,2,125,2262,118,1925,7
38296,14,298,1664,227,4616,71
5535,5709,203002,3419,157699,1212512,45303
35845,18,241,1820,193,3922,48
1569,10,124,3590,112,5427,12
43143,87,775,521,599,10146,176
43175,83,1047,502,789,12222,258
1785,22,359,3535,322,5849,37
43330,36,1360,378,1110,5566,250
43441,83,1299,303,1051,6629,248
29884,7,144,2110,115,2808,29
38826,21,347,1628,290,6609,57
42478,8,160,951,118,2372,42
38272,35,731,1666,645,5221,86
43368,17,290,350,189,3098,101
41706,19,365,1370,301,4377,64
1219,24,510,3766,422,11619,88
37576,34,926,1713,760,15650,166
43390,6,108,329,74,2812,34
39348,261,8021,1595,6696,27491,1325
1228,106,2005,3764,1751,14793,254
1691,31,786,3564,555,6252,231
14924,6,102,2858,82,2901,20
42134,201,3154,1285,2557,18898,597
1632,4,89,3578,73,2578,16
22029,63,978,2498,796,7880,182
43266,161,2455,442,1874,14083,581
33268,217,2466,1947,1889,16355,577
27565,2,131,2235,110,2744,21
11040,9,219,3109,190,5202,29
43697,4,50,155,34,867,16
21320,0,44,2539,36,2406,8
42289,2,62,1118,45,2613,17
32643,23,339,1972,284,3916,55
28830,45,960,2163,843,21750,117
3936,10,422,3489,374,7552,48
15840,1,69,2814,58,1544,11
12458,25,1385,3034,978,6021,407
13971,38,522,2923,440,6617,82
34422,5,166,1905,144,7229,22
19882,55,1084,2620,951,6295,133
6006,3436,131063,3394,101629,447307,29434
37228,6,140,1736,123,10031,17
37805,8,190,1698,159,3934,31
945,19,469,3853,418,6857,51
11428,3,196,3089,104,3400,92
1544,18,441,3595,394,9827,47
1007,24,391,3835,328,5855,63
41789,41,582,1354,509,7312,73
31656,47,914,2019,780,6461,134
14164,4,142,2912,118,2874,24
43076,50,732,615,497,9006,235
43015,130,1960,672,1570,9622,390
43223,9,110,471,90,1559,20
30209,12,238,2094,191,5167,47
42347,737,20875,1062,16484,104431,4391
1590,20,305,3586,274,8998,31
33091,88,7896,1953,6348,23890,1548
42116,28,230,1298,184,3635,46
43580,4,51,217,39,811,12
43306,15,471,404,317,6038,154
35353,39,1959,1855,1672,21081,287
27965,46,1497,2212,1277,11443,220
1684,0,43,3565,37,1768,6
43231,24,359,469,264,4324,95
43502,31,235,264,213,2674,22
23408,2,108,2431,94,7010,14
42549,50,500,905,395,9229,105
42138,82,857,1275,690,9179,167
43039,1329,33402,647,23768,174923,9634
42879,2,59,735,39,1414,20
26544,21,325,2288,272,4012,53
42522,231,2803,918,2319,18142,484
43674,2,39,162,22,906,17
43539,14,147,245,109,1697,38
13198,29,1102,2983,892,9953,210
43568,70,589,231,422,4141,167
27375,3,57,2247,51,1396,6
