Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2
"('Body models', 'Creatures')",31,46,3,0.003927,0.005826,0.00038,-0.000357121298,0.5073594850806291,0.4169417432637347
"('Leveled Lists', 'English')",21,459,12,0.00266,0.058138,0.00152,-0.00136535292,2.3553668238219765,0.5184385761165274
"('Face models', 'Items - Clutter')",37,46,1,0.004687,0.005826,0.000127,-9.9693538e-05,0.1296927684796,0.11639293920198894
"('For female characters', 'Animation - Modified')",209,17,3,0.026472,0.002153,0.00038,-0.000323005784,0.1787799312162204,0.6192020328917495
"('Leveled Lists', 'Dragonborn')",21,41,2,0.00266,0.005193,0.000253,-0.00023918662000000003,0.4126202252895274,0.2956884572402019
"('NPC Vendors', ""Modder's Resource"")",33,68,2,0.00418,0.008613,0.000253,-0.00021699766000000002,0.2988495145777757,0.2086566758866305
"('Other languages', 'NPCs')",30,115,3,0.0038,0.014566,0.00038,-0.0003246492,0.468840733999311,0.24077227712092508
"('Races - Modified', 'Items - Apparatus')",31,22,1,0.003927,0.002787,0.000127,-0.000116055451,0.16487908783351302,0.19560464364047025
"('Environment - Sky', 'Items - Apparatus')",21,22,1,0.00266,0.002787,0.000127,-0.00011958658,0.2062985027390081,0.2015561540929481
"('Quests', 'Creatures')",25,46,2,0.003167,0.005826,0.000253,-0.00023454905800000003,0.3709151096329209,0.27383775112563247
"('Lighting', 'Scripted Events')",38,23,2,0.004813,0.002913,0.000253,-0.00023897973100000004,0.3068151900120366,0.3940037595233859
"('Faction: College of Winterhold', 'Magic - Enchantments')",8,39,1,0.001013,0.00494,0.000127,-0.00012199578,0.3407502900910218,0.15460828633969828
"('New textures', 'Magic - Potions')",340,14,4,0.043065,0.001773,0.000507,-0.00043064575499999997,0.1884919435030369,0.9095513310418342
"('Related to Movies/TV/Other Games', 'Magic - Potions')",64,14,2,0.008106,0.001773,0.000253,-0.00023862806200000003,0.23646215871258688,0.5039977032074386
"('Video', 'Locations - Dungeons')",11,29,2,0.001393,0.003673,0.000253,-0.00024788351100000003,0.5905420737298358,0.36409296870438523
"('Italian', 'Dawnguard')",29,33,1,0.003673,0.00418,0.000127,-0.00011164686,0.16398765912236443,0.153760229097092
"('Lighting', 'Locations - Dungeons')",38,29,1,0.004813,0.003673,0.000127,-0.000109321851,0.1403533443889957,0.16057267026062277
"('Guilds / Factions', 'NPCs')",20,115,13,0.002533,0.014566,0.001647,-0.001610104322,2.846185618139783,1.1941150140218524
"('Audio - Sound FX', 'Races - Modified')",40,31,1,0.005066,0.003927,0.000127,-0.000107105818,0.13404771048092115,0.15216441297102246
"('Audio - Voices', 'New models')",22,100,2,0.002787,0.012666,0.000253,-0.00021769985800000003,0.3669203193624312,0.17297463574789335
"('Magic - Spells', 'NPC Vendors')",80,33,5,0.010133,0.00418,0.000633,-0.00059064406,0.5240158984445766,0.8134359173239315
"('Gameplay Effects/Changes', 'Races - New')",168,22,2,0.021279,0.002787,0.000253,-0.00019369542700000002,0.11925878320223883,0.32646226132992
"('Saved games', 'Japanese')",98,21,1,0.012413,0.00266,0.000127,-9.398142e-05,0.0754209519818242,0.1621271068316016
"('Environment - Water', 'Tutorials for Players')",10,18,1,0.001267,0.00228,0.000127,-0.00012411124,0.31000890878248244,0.23121468799670244
"('Scripted Events', 'Magic - Enchantments')",23,39,5,0.002913,0.00494,0.000633,-0.00061860978,1.019896448866346,0.7839795605944547
"('Video', 'Tutorials for Modders')",11,12,1,0.001393,0.00152,0.000127,-0.00012488264,0.29751254087431633,0.2848306094856323
"('Birthsigns', 'Locations - Buildings')",3,55,1,0.00038,0.006966,0.000127,-0.00012435292,0.5669213180201027,0.13284899109834422
"('Locations - Dungeons', 'Utilities for Modders')",29,26,1,0.003673,0.003293,0.000127,-0.000114904811,0.16877295947049215,0.1782110628601932
"('Environment - Sky', 'User Interface')",21,39,1,0.00266,0.00494,0.000127,-0.0001138596,0.19641890421535899,0.14429710305818375
"('German', 'Utilities for Modders')",57,26,3,0.00722,0.003293,0.00038,-0.00035622454000000005,0.3738563769960248,0.552484733561621
"('Fair and balanced', 'Clothing')",292,85,19,0.036985,0.010766,0.002407,-0.00200881949,0.9457745930519079,1.7295784897279047
"('Clothing - Male', 'Magic - Spells')",47,80,7,0.005953,0.010133,0.000887,-0.000826678251,0.954863248880615,0.7334240293931955
"('Animation - Modified', 'Tutorials for Players')",17,18,1,0.002153,0.00228,0.000127,-0.00012209116,0.2340487329171537,0.2274513530487285
"('Replacer', 'Magic - Enchantments')",255,39,5,0.032299,0.00494,0.000633,-0.00047344293999999996,0.23794609328516925,0.6000060135934914
"('For female characters', 'Magic - Spells')",209,80,8,0.026472,0.010133,0.001013,-0.000744759224,0.41221553741392347,0.6607459556763269
"('Classes component', 'Items - Apparatus')",4,22,1,0.000507,0.002787,0.000127,-0.00012558699099999998,0.49570906873393034,0.21166949426988949
"('New models', 'Video')",100,11,3,0.012666,0.001393,0.00038,-0.000362356262,0.28791218793729395,0.8632547502946725
"('Body models', 'Magic - Potions')",31,14,1,0.003927,0.001773,0.000127,-0.000120037429,0.17053625339321704,0.2535267143682623
"('Lighting', 'Other languages')",38,30,2,0.004813,0.0038,0.000253,-0.00023471060000000002,0.3013342471995632,0.3389562949220842
"('Performance Optimization', 'Utilities for Players')",33,63,9,0.00418,0.00798,0.00114,-0.0011066436,1.5240712857023535,1.105152433249325
"('Related to Movies/TV/Other Games', 'Items - Clutter')",64,46,1,0.008106,0.005826,0.000127,-7.9774444e-05,0.07905037270233696,0.09313725038391628
"('Replacer', 'Unbalanced')",255,32,2,0.032299,0.004053,0.000253,-0.000122092153,0.06136188413143337,0.17074869914085486
"('Fair and balanced', 'German')",292,57,21,0.036985,0.00722,0.00266,-0.0023929683,1.1266361320093605,2.5114116475645853
"('Items - Leveled', 'Weapons')",15,176,5,0.0019,0.022293,0.000633,-0.0005906433,1.2051400536994723,0.3554780005638063
"('Items - Clutter', 'Magic - Potions')",46,14,5,0.005826,0.001773,0.000633,-0.000622670502,0.7269723929564816,1.3151198573746237
"('Face models', 'Races - New')",37,22,5,0.004687,0.002787,0.000633,-0.000619937331,0.8064854588794327,1.044867946010388
"('Unbalanced', 'Lore-Friendly')",32,322,3,0.004053,0.040785,0.00038,-0.000214698395,0.30026066993739897,0.09644876054010747
"('Faction: College of Winterhold', 'German')",8,57,1,0.001013,0.00722,0.000127,-0.00011968614,0.3342991612076635,0.1256101746304143
"('Armor - Shields', 'Items - Ingredients')",74,21,5,0.009373,0.00266,0.000633,-0.00060806782,0.5607040573158792,1.04897623821814
"('Companion Friendly', 'Utilities for Players')",137,63,3,0.017353,0.00798,0.00038,-0.00024152306000000003,0.16434201965700865,0.24119761542453486
"('Related to vampires', 'Humor, Joke or Just for Fun')",23,58,3,0.002913,0.007346,0.00038,-0.00035860110200000003,0.5912224512346997,0.3731326706337758
"('Scripted Events', 'Lore-Friendly')",23,322,16,0.002913,0.040785,0.002027,-0.0019081932950000002,3.1460213340323717,0.8572159012818594
"('Items - Apparatus', 'Hearthfire')",22,12,2,0.002787,0.00152,0.000253,-0.00024876376000000004,0.4192767009751526,0.5673769659156594
