Mod,likes,downloads,time,unique_dl,views
33859,2,39,1902,32,2954
38186,0,21,1649,13,3732
4257,29,177419,3455,65115,3605
9329,4,224,3175,173,9574
4994,21,574,3424,465,6625
10850,0,33,3095,27,2893
42456,283,6847,1204,5017,41515
22069,30,587,2473,479,5767
6794,14,584,3339,451,22348
33580,22,2028,1912,1554,25002
30151,36,1008,2075,760,16200
21916,6,458,2483,352,10434
18158,57,2534,2677,1951,19200
18071,164,10585,2680,7528,52381
41396,41,1050,1395,773,28007
32020,8,403,1978,307,11729
12990,14,686,2980,555,9450
15893,13,585,2789,450,10299
38222,55,1245,1646,965,9241
6884,3,121,3335,108,2821
33401,2,76,1919,61,2652
2096,41,1656,3500,1190,10041
7597,70,1401,3294,1118,23398
4271,26,615,3454,503,12056
15322,11,1483,2814,1173,15649
42535,23,627,1189,407,7210
13537,14,784,2934,567,18931
20760,3,197,2551,159,7392
38099,32,2589,1656,1948,19066
38476,2,189,1629,151,6913
46006,6,129,218,86,2936
28151,324,14318,2180,10921,66708
45606,12,386,390,335,9005
22810,1594,67775,2437,47965,289467
34355,222,7263,1885,5345,38263
9473,13,790,3166,581,7811
27707,14,235,2204,184,8089
22578,39,2817,2448,2064,22261
41541,58,1905,1374,1372,25551
11263,4,37,3073,27,2010
5274,14,298,3408,232,8262
37746,29,2373,1679,1706,21799
45576,294,6816,396,4659,27295
33204,0,63,1926,53,6815
30901,492,12125,2035,8714,68595
29487,3,240,2106,205,8108
12991,43,1982,2980,1656,9272
30180,14,697,2073,571,6482
1809,67,2275,3508,1794,18805
7070,110,10776,3324,6387,38192
3439,20,668,3477,505,16135
33003,1086,35051,1934,26072,176404
13436,6,312,2943,271,10670
30242,6,333,2069,270,4778
41553,117,2222,1373,1686,26771
10735,26,2323,3101,1743,23008
29940,5,127,2084,104,2107
40239,6,172,1518,141,7535
42467,66,1269,1202,976,23386
18151,7,469,2677,361,8800
2875,110,2982,3487,2162,22830
8982,2,71,3197,49,1422
22772,22,789,2439,615,3301
6272,12,299,3362,240,2620
12957,19,86109,2983,28425,8480
44615,10,171,700,107,7542
14440,2,245,2867,182,8560
15678,8,341,2798,290,2924
23522,7,108,2403,93,2544
