Mod,likes,downloads,time,unique_dl,views,dl_dif
3937,16,261,864,164,8314,97
1859,12,362,1944,247,8261,115
935,822,38445,2162,26867,222197,11578
3613,23,220,1215,186,4939,34
3423,155,1980,1418,1515,24556,465
4205,50,440,521,334,12767,106
3560,802,10753,1295,7634,92081,3119
2521,255,6360,1791,4488,60946,1872
893,172,14749,2168,10978,93212,3771
1118,160,7314,2134,4694,44641,2620
4074,96,823,726,550,6502,273
4297,23,393,384,292,3614,101
1407,184,5948,2062,4011,24935,1937
1465,13,953,2052,648,28036,305
1852,14,468,1947,325,16385,143
181,4804,78313,2281,50250,634981,28063
941,46,1109,2161,817,28682,292
2870,280,7612,1733,4656,73073,2956
3511,665,14827,1335,9820,57595,5007
241,46,584,2274,230,31894,354
276,16,267,2271,186,25589,81
4285,22,385,386,281,5786,104
1173,11,269,2125,221,13009,48
4176,37,276,575,236,7618,40
1206,14,323,2116,244,13350,79
3692,39,654,1097,477,17874,177
899,37,891,2167,740,22053,151
4329,57,790,270,518,7066,272
1478,484,25379,2049,17024,304236,8355
142,3,8,2285,7,14875,1
2672,1315,25859,1779,13047,98905,12812
2030,103,3298,1869,2005,30690,1293
1509,31,1321,2040,966,13002,355
261,17,209,2272,149,16882,60
1056,46,1090,2145,759,11841,331
118,260,2144,2286,1837,169862,307
4242,39,625,470,501,10973,124
1922,58,1798,1919,1232,29701,566
1343,633,19534,2086,13408,118852,6126
561,110,3890,2234,2882,53179,1008
3776,39,554,1012,448,16160,106
3850,13,212,921,122,8147,90
4150,54,723,604,477,12477,246
4117,692,11251,654,7931,84232,3320
3431,207,5394,1415,4069,57643,1325
4279,23,504,386,338,5459,166
4027,402,5741,753,4061,52813,1680
427,34,1357,2255,1045,34490,312
2785,86,2100,1754,1097,18559,1003
956,267,6563,2159,4916,49332,1647
1808,659,16166,1962,10091,88274,6075
31,116,1566,2291,1012,54998,554
132,35,404,2286,284,42139,120
4317,15,208,309,191,6045,17
197,28,354,2279,266,26995,88
1981,380,13901,1885,9828,93120,4073
3647,5,293,1158,190,12328,103
1713,304,7545,1982,4528,39865,3017
580,77,1905,2232,1388,32511,517
483,466,15429,2247,10531,76972,4898
531,71,4331,2239,3238,32111,1093
4108,209,3791,666,2518,41091,1273
877,172,3355,2172,2312,41063,1043
3465,817,12206,1394,8065,114138,4141
1429,313,5870,2058,4346,58113,1524
1247,33,757,2106,572,26382,185
4168,112,1428,581,1063,21593,365
1334,32,1007,2089,745,56125,262
2902,38,895,1722,536,13261,359
1540,149,5363,2033,3771,106427,1592
1251,127,3257,2105,2417,29869,840
1661,50,2154,1995,1482,24261,672
4214,88,860,503,587,11655,273
3799,102,2128,979,1324,24390,804
948,3,133,2160,107,24794,26
2997,880,12822,1683,7785,53696,5037
1939,72,2475,1910,1667,32209,808
3666,19,225,1133,201,5351,24
1392,149,6503,2067,3805,43037,2698
1895,49,3587,1933,2443,49508,1144
673,20,1061,2219,805,14032,256
1278,453,12618,2100,8690,150049,3928
3735,15,211,1040,135,6193,76
4245,482,6861,459,4897,33717,1964
3469,63,1097,1388,778,15202,319
3551,52,768,1304,609,13185,159
1523,124,2452,2037,1805,36680,647
1458,52,2626,2053,1901,39816,725
315,192,4123,2266,2595,135965,1528
1189,65,2187,2119,1485,72415,702
504,46,1372,2244,1053,33065,319
363,19,161,2261,125,25933,36
3420,463,9066,1420,6261,96336,2805
330,11,131,2265,92,25367,39
674,9,598,2219,472,14210,126
4137,85,1217,629,808,15311,409
429,5228,152605,2255,102166,608204,50439
4358,84,761,185,545,10632,216
4158,83,1380,598,944,17973,436
2080,43,1197,1842,729,19479,468
36,119,1113,2291,1006,194483,107
2113,71,5232,1829,3927,26364,1305
1444,3374,156083,2054,93400,571497,62683
4160,49,811,593,512,17230,299
173,0,11,2282,10,17293,1
3345,104,1376,1498,1015,20498,361
657,245,7255,2221,4600,33113,2655
3987,149,1895,829,1255,23744,640
2067,112,1062,1848,723,14466,339
271,103,1618,2271,936,43709,682
760,72,3640,2202,2437,34556,1203
572,21,492,2233,378,13460,114
545,661,45046,2237,32904,292423,12142
2077,316,5031,1844,3880,24161,1151
1080,16,637,2141,503,16157,134
1440,33,684,2055,452,13619,232
1810,85,2747,1962,1827,32237,920
668,54,1238,2220,925,25639,313
3753,40,379,1021,318,8311,61
239,49,578,2274,375,116223,203
2007,4,164,1875,111,12027,53
693,64,3019,2215,2112,73209,907
4301,3,43,384,36,8364,7
1193,62,1264,2118,957,18386,307
2971,5,376,1695,256,18052,120
3983,131,2309,830,1808,42400,501
1635,21,1378,2002,940,16548,438
227,21,228,2275,132,28886,96
1790,246,8865,1966,5698,66109,3167
1367,1625,41124,2077,26967,124684,14157
37,10,146,2291,82,46566,64
742,18,1702,2206,1190,42571,512
971,10618,275040,2158,155470,729005,119570
175,17,109,2282,79,36443,30
66,80,627,2289,435,72845,192
1826,293,15808,1958,10590,119106,5218
3553,506,9013,1303,7282,97433,1731
1418,65,2937,2059,2270,34267,667
366,13,231,2261,158,53078,73
1697,47,1740,1986,1125,28626,615
2139,31,1185,1814,779,27863,406
1510,6,309,2040,212,11303,97
482,10,582,2247,417,20964,165
1940,349,11443,1910,7506,62068,3937
1929,184,5324,1915,3458,48331,1866
2540,0,0,1790,0,24786,0
579,20,381,2232,265,29209,116
232,444,5852,2275,3951,125258,1901
413,134,1926,2256,1282,49175,644
1379,39,1573,2072,1049,32197,524
4161,49,505,592,358,19423,147
662,238,7171,2221,5756,114717,1415
610,17,746,2227,570,26034,176
1179,21,666,2123,449,27388,217
91,1053,22319,2287,15331,356723,6988
1393,35,1843,2067,1280,32467,563
4216,435,8229,491,5548,48513,2681
1060,380,6549,2145,4590,37664,1959
3746,57,713,1024,511,9995,202
372,58,1272,2260,752,25544,520
1347,267,16134,2085,10904,75028,5230
3612,43,987,1215,814,21425,173
4064,42,446,730,301,4654,145
1471,20,834,2051,617,27060,217
3626,440,12062,1192,7013,90730,5049
3327,57,1241,1514,1054,28872,187
1900,437,12178,1928,8643,67580,3535
4377,5,92,128,61,1566,31
1702,24,556,1984,351,17157,205
1563,25,1644,2027,1080,40588,564
1704,63,1454,1984,849,22938,605
727,326,20365,2210,12968,165949,7397
1483,370,16454,2047,12278,100115,4176
4246,34,736,448,487,10953,249
7,62,644,2292,399,78683,245
4119,192,2342,654,1678,33314,664
1273,42,571,2101,436,13875,135
195,7,81,2279,66,32784,15
259,2391,42745,2272,28575,380948,14170
2001,77,3525,1875,2330,40567,1195
168,4,36,2283,29,17578,7
2714,36,740,1772,472,18757,268
3991,144,4466,711,3063,37428,1403
1261,38,1158,2103,730,21978,428
3278,81,1479,1567,1029,36768,450
1599,11,690,2017,446,16101,244
1376,145,5508,2074,4079,54654,1429
1087,31,1047,2140,828,78024,219
766,114,5478,2200,3576,69905,1902
1926,23,1736,1917,1136,20904,600
303,536,6170,2268,3853,165040,2317
604,31,1678,2228,1216,47147,462
4260,91,1246,436,828,16299,418
169,1,12,2283,9,13872,3
3710,528,13127,1076,7923,67306,5204
202,10114,256388,2279,164359,936194,92029
464,7,640,2250,448,26366,192
1863,3,122,1944,68,5795,54
1760,400,20175,1973,14551,60738,5624
3314,733,12852,1533,7735,72710,5117
1255,33,815,2105,593,9702,222
4284,25,391,386,285,4537,106
980,467,18901,2157,13375,62553,5526
812,253,19383,2186,14270,119731,5113
4324,22,251,287,173,7081,78
959,330,6849,2158,4893,58237,1956
1648,135,2807,1999,1769,16644,1038
233,223,3013,2275,2005,95894,1008
647,5899,305188,2223,196547,1227521,108641
1752,193,5037,1974,3279,25195,1758
344,11,77,2263,58,61208,19
931,7,312,2163,213,20111,99
3146,163,2819,1615,1551,24752,1268
577,11271,409406,2232,280178,1514965,129228
4146,160,2193,609,1541,30688,652
880,53,1065,2170,756,29116,309
3411,141,1547,1424,1175,19273,372
2000,41,543,1876,328,10441,215
3656,130,2193,1150,1740,44082,453
186,64,461,2281,354,129528,107
4244,117,2904,465,2155,30803,749
4298,18,392,384,297,4094,95
736,0,756,2207,452,12346,304
1772,31,409,1971,287,13719,122
4129,19,340,638,246,16474,94
2104,77,2202,1831,1472,35578,730
479,293,10913,2248,7958,61165,2955
587,67,3126,2231,2357,108011,769
2107,107,1486,1831,939,20572,547
3636,162,4405,1175,3032,48559,1373
18,151,2607,2292,1672,90957,935
2003,1179,27736,1875,16280,110322,11456
3331,26,454,1508,352,27574,102
2128,48,1258,1818,866,16968,392
328,45,927,2265,546,34080,381
573,1030,20664,2233,13115,96001,7549
130,623,4602,2286,3294,47993,1308
115,37,510,2286,374,80794,136
4370,35,419,145,351,8738,68
722,505,10709,2210,7400,42966,3309
598,1272,37165,2230,23234,184359,13931
764,2045,36875,2201,22610,199743,14265
802,57,4799,2189,3749,45057,1050
532,152,4563,2239,3327,25540,1236
1491,146,5309,2046,3755,82419,1554
3781,674,27680,825,21084,78497,6596
3723,2528,26820,1056,17037,148517,9783
3605,16,316,1234,241,15255,75
944,4,307,2160,215,21687,92
1784,3154,138893,1969,94336,423966,44557
670,83,1478,2220,1029,17831,449
4275,76,1525,400,1295,26614,230
4035,17,215,736,152,11242,63
1714,262,6176,1982,4297,43471,1879
4355,96,1108,203,748,9289,360
669,33,2215,2220,1492,64720,723
2130,18,405,1817,236,16887,169
2125,81,4454,1819,2969,47769,1485
648,813,18818,2223,12320,71863,6498
497,244,7250,2244,5351,63861,1899
3326,50,1097,1515,725,17827,372
644,104,7570,2223,5219,71257,2351
857,93,2320,2176,1779,51294,541
3651,122,1271,1156,1020,18380,251
3352,131,3309,1487,2653,75258,656
1441,41,1700,2055,1172,17302,528
1700,76,1214,1985,874,20047,340
3615,36,1979,1209,1415,27814,564
1428,385,13893,2058,8508,124082,5385
1541,107,2022,2033,1435,17831,587
3719,168,3054,1061,2510,41362,544
368,7,51,2261,34,29924,17
1098,314,8297,2137,4929,51828,3368
1701,184,6774,1984,4350,65973,2424
4187,807,9857,558,7227,49074,2630
2887,72,1253,1727,747,16447,506
